person_id,age_band,gender,region,education,policy_support_0_10,selection_propensity,sampled,poststrat_weight,raked_weight
P00518,30-44,Man,Midlands,Degree,5.7,0.057214,1,0.6961,0.6738230869993773
P00536,60+,Man,North,No degree,6.2,0.01841,1,2.3322522522522524,2.0200816345539305
P00553,45-59,Woman,South,No degree,4.0,0.043192,1,0.8886324786324786,0.9503529957055676
P00567,18-29,Woman,London,Degree,6.0,0.060918,1,0.8527935222672065,0.6542638188747341
P00594,30-44,Man,Midlands,Degree,5.7,0.057214,1,0.6961,0.6738230869993773
P00631,30-44,Man,North,No degree,5.3,0.038239,1,1.0373821989528795,1.0571123461325747
P00642,45-59,Man,South,Degree,6.4,0.061237,1,0.6375257731958762,0.593083312363701
P00658,30-44,Man,London,Degree,5.4,0.063968,1,0.6961,0.5766006518454402
P00660,60+,Woman,Midlands,Degree,5.8,0.035381,1,0.9024852071005918,1.2876376365915312
P00673,45-59,Woman,Scotland/Wales,Degree,5.0,0.057214,1,0.6375257731958762,0.6520347756449332
P00709,18-29,Man,London,No degree,4.6,0.042779,1,1.099366515837104,1.0483882572438128
P00738,18-29,Man,South,No degree,4.3,0.034173,1,1.099366515837104,1.249205162442292
P00772,45-59,Man,London,Degree,6.6,0.067212,1,0.6375257731958762,0.49774176327748904
P00804,45-59,Woman,South,No degree,4.5,0.043192,1,0.8886324786324786,0.9503529957055676
P00806,30-44,Woman,Scotland/Wales,Degree,8.4,0.052804,1,0.6961,0.7553388210528066
P00812,18-29,Woman,South,Degree,6.5,0.053563,1,0.8527935222672065,0.7795868891990588
P00816,18-29,Man,London,Degree,3.1,0.060918,1,0.8527935222672065,0.6542638188747341
P00846,30-44,Woman,London,No degree,4.8,0.046879,1,1.0373821989528795,0.9239412834314563
P00922,45-59,Woman,Midlands,No degree,7.7,0.043192,1,0.8886324786324786,0.9320604576512047
P00970,18-29,Man,South,No degree,4.3,0.034173,1,1.099366515837104,1.249205162442292
P00989,30-44,Man,London,Degree,7.8,0.063968,1,0.6961,0.5766006518454402
P01078,30-44,Man,London,No degree,4.2,0.046879,1,1.0373821989528795,0.9239412834314563
P01095,45-59,Man,London,Degree,4.9,0.067212,1,0.6375257731958762,0.49774176327748904
P01113,45-59,Man,South,Degree,4.9,0.061237,1,0.6375257731958762,0.593083312363701
P01250,30-44,Woman,North,Degree,7.6,0.057214,1,0.6961,0.6597082290664027
P01271,30-44,Woman,North,No degree,3.8,0.038239,1,1.0373821989528795,1.0571123461325747
P01311,30-44,Woman,North,No degree,5.8,0.038239,1,1.0373821989528795,1.0571123461325747
P01362,60+,Woman,North,Degree,5.2,0.035381,1,0.9024852071005918,1.2606649450048188
P01387,45-59,Woman,South,No degree,3.1,0.043192,1,0.8886324786324786,0.9503529957055676
P01403,30-44,Woman,North,No degree,5.2,0.038239,1,1.0373821989528795,1.0571123461325747
P01452,30-44,Woman,Midlands,Degree,4.9,0.057214,1,0.6961,0.6738230869993773
P01472,30-44,Woman,Scotland/Wales,No degree,1.9,0.033374,1,1.0373821989528795,1.2103502094829488
P01495,45-59,Woman,Scotland/Wales,No degree,4.1,0.038239,1,0.8886324786324786,1.0448164522935846
P01522,30-44,Man,South,No degree,6.9,0.038239,1,1.0373821989528795,1.1009205922340977
P01524,60+,Man,Scotland/Wales,No degree,6.7,0.015204,1,2.3322522522522524,2.312910485342466
P01526,18-29,Man,North,No degree,1.8,0.034173,1,1.099366515837104,1.1994963209748883
P01534,45-59,Man,London,Degree,5.7,0.067212,1,0.6375257731958762,0.49774176327748904
P01605,18-29,Woman,South,Degree,4.9,0.053563,1,0.8527935222672065,0.7795868891990588
P01617,30-44,Woman,Midlands,Degree,5.8,0.057214,1,0.6961,0.6738230869993773
P01652,30-44,Man,North,No degree,6.3,0.038239,1,1.0373821989528795,1.0571123461325747
P01697,30-44,Woman,Midlands,No degree,6.9,0.038239,1,1.0373821989528795,1.0797299063318317
P01723,30-44,Man,North,No degree,4.8,0.038239,1,1.0373821989528795,1.0571123461325747
P01742,45-59,Woman,London,Degree,4.6,0.067212,1,0.6375257731958762,0.49774176327748904
P01744,30-44,Man,North,Degree,6.5,0.057214,1,0.6961,0.6597082290664027
P01750,45-59,Man,South,No degree,6.7,0.043192,1,0.8886324786324786,0.9503529957055676
P01773,30-44,Man,South,Degree,6.7,0.057214,1,0.6961,0.6870474807172545
P01785,18-29,Man,Midlands,Degree,4.3,0.053563,1,0.8527935222672065,0.7645812829645364
P01795,60+,Man,South,No degree,6.6,0.01841,1,2.3322522522522524,2.1037967039270837
P01819,30-44,Man,South,No degree,4.6,0.038239,1,1.0373821989528795,1.1009205922340977
P01845,30-44,Man,Midlands,No degree,5.7,0.038239,1,1.0373821989528795,1.0797299063318317
P01861,30-44,Woman,Midlands,Degree,6.6,0.057214,1,0.6961,0.6738230869993773
P01863,45-59,Man,South,No degree,6.7,0.043192,1,0.8886324786324786,0.9503529957055676
P01899,30-44,Woman,North,No degree,6.3,0.038239,1,1.0373821989528795,1.0571123461325747
P01906,18-29,Man,London,Degree,5.8,0.060918,1,0.8527935222672065,0.6542638188747341
P01928,18-29,Woman,North,Degree,4.3,0.053563,1,0.8527935222672065,0.7485652746153514
P01992,18-29,Man,South,Degree,6.5,0.053563,1,0.8527935222672065,0.7795868891990588
P02006,60+,Man,North,Degree,6.8,0.035381,1,0.9024852071005918,1.2606649450048188
P02025,45-59,Woman,South,No degree,4.8,0.043192,1,0.8886324786324786,0.9503529957055676
P02059,45-59,Man,Midlands,No degree,7.2,0.043192,1,0.8886324786324786,0.9320604576512047
P02078,18-29,Man,London,Degree,4.7,0.060918,1,0.8527935222672065,0.6542638188747341
P02081,18-29,Man,South,Degree,5.8,0.053563,1,0.8527935222672065,0.7795868891990588
P02105,18-29,Woman,Scotland/Wales,No degree,4.5,0.029482,1,1.099366515837104,1.3733740114543207
P02107,30-44,Woman,Midlands,Degree,6.3,0.057214,1,0.6961,0.6738230869993773
P02266,18-29,Man,Midlands,Degree,4.5,0.053563,1,0.8527935222672065,0.7645812829645364
P02270,30-44,Woman,South,No degree,2.6,0.038239,1,1.0373821989528795,1.1009205922340977
P02281,18-29,Woman,South,Degree,4.5,0.053563,1,0.8527935222672065,0.7795868891990588
P02289,18-29,Man,North,Degree,5.1,0.053563,1,0.8527935222672065,0.7485652746153514
P02338,60+,Man,South,No degree,4.0,0.01841,1,2.3322522522522524,2.1037967039270837
P02341,60+,Man,London,Degree,7.4,0.044016,1,0.9024852071005918,1.1018510866192461
P02364,45-59,Woman,Midlands,No degree,6.7,0.043192,1,0.8886324786324786,0.9320604576512047
P02365,60+,Woman,South,No degree,6.3,0.01841,1,2.3322522522522524,2.1037967039270837
P02371,60+,Man,London,Degree,3.0,0.044016,1,0.9024852071005918,1.1018510866192461
P02392,60+,Man,South,No degree,5.3,0.01841,1,2.3322522522522524,2.1037967039270837
P02401,45-59,Woman,South,No degree,4.9,0.043192,1,0.8886324786324786,0.9503529957055676
P02413,30-44,Man,North,Degree,5.4,0.057214,1,0.6961,0.6597082290664027
P02423,18-29,Man,Midlands,Degree,3.1,0.053563,1,0.8527935222672065,0.7645812829645364
P02430,45-59,Woman,North,Degree,7.8,0.061237,1,0.6375257731958762,0.5694831182261657
P02539,45-59,Man,South,No degree,2.8,0.043192,1,0.8886324786324786,0.9503529957055676
P02651,30-44,Woman,North,No degree,5.7,0.038239,1,1.0373821989528795,1.0571123461325747
P02689,18-29,Woman,London,Degree,7.0,0.060918,1,0.8527935222672065,0.6542638188747341
P02765,45-59,Man,Scotland/Wales,No degree,6.0,0.038239,1,0.8886324786324786,1.0448164522935846
P02788,45-59,Man,North,No degree,6.1,0.043192,1,0.8886324786324786,0.9125361920115775
P02799,30-44,Man,North,Degree,4.3,0.057214,1,0.6961,0.6597082290664027
P02835,18-29,Man,London,Degree,7.2,0.060918,1,0.8527935222672065,0.6542638188747341
P02840,60+,Woman,London,No degree,6.2,0.025101,1,2.3322522522522524,1.7655992997285437
P02890,60+,Woman,North,Degree,6.6,0.035381,1,0.9024852071005918,1.2606649450048188
P02915,60+,Woman,North,Degree,4.6,0.035381,1,0.9024852071005918,1.2606649450048188
P02948,30-44,Woman,London,Degree,8.0,0.063968,1,0.6961,0.5766006518454402
P02950,30-44,Woman,South,Degree,6.6,0.057214,1,0.6961,0.6870474807172545
P02960,45-59,Man,London,Degree,5.6,0.067212,1,0.6375257731958762,0.49774176327748904
P02971,30-44,Man,North,Degree,5.5,0.057214,1,0.6961,0.6597082290664027
P03013,18-29,Man,London,No degree,7.6,0.042779,1,1.099366515837104,1.0483882572438128
P03020,30-44,Woman,North,Degree,5.3,0.057214,1,0.6961,0.6597082290664027
P03035,30-44,Man,Scotland/Wales,No degree,6.8,0.033374,1,1.0373821989528795,1.2103502094829488
P03038,45-59,Man,London,No degree,5.5,0.05165,1,0.8886324786324786,0.7975782928932811
P03117,45-59,Man,South,No degree,2.4,0.043192,1,0.8886324786324786,0.9503529957055676
P03137,18-29,Woman,Midlands,No degree,5.1,0.034173,1,1.099366515837104,1.2251602727276898
P03138,30-44,Man,London,Degree,8.1,0.063968,1,0.6961,0.5766006518454402
P03147,45-59,Woman,London,Degree,6.4,0.067212,1,0.6375257731958762,0.49774176327748904
P03153,30-44,Woman,North,Degree,7.2,0.057214,1,0.6961,0.6597082290664027
P03169,45-59,Woman,South,No degree,6.4,0.043192,1,0.8886324786324786,0.9503529957055676
P03200,45-59,Woman,North,Degree,5.6,0.061237,1,0.6375257731958762,0.5694831182261657
P03208,45-59,Woman,Midlands,Degree,6.8,0.061237,1,0.6375257731958762,0.5816675551557531
P03231,60+,Man,South,Degree,6.1,0.035381,1,0.9024852071005918,1.3129087016541312
P03268,45-59,Man,North,No degree,6.9,0.043192,1,0.8886324786324786,0.9125361920115775
P03294,45-59,Man,Scotland/Wales,No degree,4.4,0.038239,1,0.8886324786324786,1.0448164522935846
P03326,45-59,Man,Midlands,No degree,3.9,0.043192,1,0.8886324786324786,0.9320604576512047
P03341,18-29,Man,Midlands,No degree,6.1,0.034173,1,1.099366515837104,1.2251602727276898
P03353,45-59,Woman,London,No degree,5.8,0.05165,1,0.8886324786324786,0.7975782928932811
P03362,45-59,Woman,North,No degree,4.0,0.043192,1,0.8886324786324786,0.9125361920115775
P03430,18-29,Man,London,Degree,5.0,0.060918,1,0.8527935222672065,0.6542638188747341
P03437,45-59,Man,North,Degree,7.1,0.061237,1,0.6375257731958762,0.5694831182261657
P03441,18-29,Man,North,No degree,3.1,0.034173,1,1.099366515837104,1.1994963209748883
P03448,45-59,Woman,South,Degree,5.8,0.061237,1,0.6375257731958762,0.593083312363701
P03463,30-44,Man,South,Degree,4.5,0.057214,1,0.6961,0.6870474807172545
P03478,18-29,Man,North,Degree,5.5,0.053563,1,0.8527935222672065,0.7485652746153514
P03492,45-59,Man,Scotland/Wales,No degree,8.2,0.038239,1,0.8886324786324786,1.0448164522935846
P03494,45-59,Woman,Midlands,Degree,7.4,0.061237,1,0.6375257731958762,0.5816675551557531
P03504,30-44,Man,North,Degree,7.4,0.057214,1,0.6961,0.6597082290664027
P03553,45-59,Man,North,No degree,6.0,0.043192,1,0.8886324786324786,0.9125361920115775
P03558,45-59,Man,North,No degree,4.5,0.043192,1,0.8886324786324786,0.9125361920115775
P03576,30-44,Woman,South,Degree,8.4,0.057214,1,0.6961,0.6870474807172545
P03583,60+,Woman,South,No degree,2.8,0.01841,1,2.3322522522522524,2.1037967039270837
P03632,18-29,Man,South,Degree,5.9,0.053563,1,0.8527935222672065,0.7795868891990588
P03653,45-59,Woman,Midlands,No degree,3.6,0.043192,1,0.8886324786324786,0.9320604576512047
P03709,30-44,Man,Midlands,Degree,6.7,0.057214,1,0.6961,0.6738230869993773
P03711,30-44,Man,South,No degree,8.2,0.038239,1,1.0373821989528795,1.1009205922340977
P03714,45-59,Man,South,No degree,5.1,0.043192,1,0.8886324786324786,0.9503529957055676
P03739,45-59,Man,Midlands,No degree,8.2,0.043192,1,0.8886324786324786,0.9320604576512047
P03759,18-29,Man,South,No degree,4.3,0.034173,1,1.099366515837104,1.249205162442292
P03772,18-29,Man,Scotland/Wales,No degree,6.6,0.029482,1,1.099366515837104,1.3733740114543207
P03786,45-59,Woman,North,No degree,6.2,0.043192,1,0.8886324786324786,0.9125361920115775
P03801,60+,Man,London,Degree,6.9,0.044016,1,0.9024852071005918,1.1018510866192461
P03818,18-29,Woman,Midlands,Degree,3.4,0.053563,1,0.8527935222672065,0.7645812829645364
P03838,45-59,Man,North,No degree,6.7,0.043192,1,0.8886324786324786,0.9125361920115775
P03840,45-59,Man,London,No degree,5.5,0.05165,1,0.8886324786324786,0.7975782928932811
P03867,30-44,Man,Midlands,Degree,5.9,0.057214,1,0.6961,0.6738230869993773
P03950,30-44,Man,London,No degree,6.1,0.046879,1,1.0373821989528795,0.9239412834314563
P04027,45-59,Woman,South,Degree,6.9,0.061237,1,0.6375257731958762,0.593083312363701
P04083,18-29,Man,London,Degree,7.5,0.060918,1,0.8527935222672065,0.6542638188747341
P04094,30-44,Man,London,Degree,8.8,0.063968,1,0.6961,0.5766006518454402
P04133,30-44,Woman,North,Degree,5.6,0.057214,1,0.6961,0.6597082290664027
P04182,60+,Woman,South,No degree,6.2,0.01841,1,2.3322522522522524,2.1037967039270837
P04206,45-59,Man,North,No degree,2.9,0.043192,1,0.8886324786324786,0.9125361920115775
P04260,18-29,Man,Scotland/Wales,Degree,4.7,0.048894,1,0.8527935222672065,0.8570764879031357
P04268,60+,Non-binary / other,South,No degree,4.4,0.01841,1,2.3322522522522524,2.1037967039270837
P04332,30-44,Woman,North,Degree,7.4,0.057214,1,0.6961,0.6597082290664027
P04337,45-59,Man,Midlands,No degree,4.0,0.043192,1,0.8886324786324786,0.9320604576512047
P04369,30-44,Woman,North,Degree,4.7,0.057214,1,0.6961,0.6597082290664027
P04423,45-59,Woman,South,No degree,5.7,0.043192,1,0.8886324786324786,0.9503529957055676
P04459,30-44,Man,North,Degree,6.5,0.057214,1,0.6961,0.6597082290664027
P04483,45-59,Woman,South,No degree,5.0,0.043192,1,0.8886324786324786,0.9503529957055676
P04538,30-44,Woman,North,Degree,6.1,0.057214,1,0.6961,0.6597082290664027
P04543,60+,Woman,South,Degree,8.2,0.035381,1,0.9024852071005918,1.3129087016541312
P04602,30-44,Woman,London,Degree,8.1,0.063968,1,0.6961,0.5766006518454402
P04613,30-44,Man,Scotland/Wales,Degree,6.7,0.052804,1,0.6961,0.7553388210528066
P04632,30-44,Man,Midlands,Degree,5.2,0.057214,1,0.6961,0.6738230869993773
P04697,45-59,Man,Midlands,Degree,6.1,0.061237,1,0.6375257731958762,0.5816675551557531
P04734,30-44,Woman,North,No degree,6.3,0.038239,1,1.0373821989528795,1.0571123461325747
P04779,45-59,Woman,South,No degree,3.8,0.043192,1,0.8886324786324786,0.9503529957055676
P04781,18-29,Man,South,No degree,2.7,0.034173,1,1.099366515837104,1.249205162442292
P04806,60+,Man,Scotland/Wales,No degree,6.5,0.015204,1,2.3322522522522524,2.312910485342466
P04825,18-29,Man,London,Degree,4.6,0.060918,1,0.8527935222672065,0.6542638188747341
P04842,60+,Man,Midlands,No degree,5.5,0.01841,1,2.3322522522522524,2.0633025070979794
P04850,45-59,Man,Scotland/Wales,No degree,5.7,0.038239,1,0.8886324786324786,1.0448164522935846
P04859,45-59,Woman,London,Degree,5.1,0.067212,1,0.6375257731958762,0.49774176327748904
P04867,18-29,Man,North,Degree,7.6,0.053563,1,0.8527935222672065,0.7485652746153514
P04934,18-29,Man,North,No degree,5.1,0.034173,1,1.099366515837104,1.1994963209748883
P04935,18-29,Woman,Scotland/Wales,No degree,4.9,0.029482,1,1.099366515837104,1.3733740114543207
P04956,30-44,Woman,London,Degree,2.6,0.063968,1,0.6961,0.5766006518454402
P04963,18-29,Woman,Scotland/Wales,Degree,5.1,0.048894,1,0.8527935222672065,0.8570764879031357
P04978,30-44,Woman,London,Degree,6.1,0.063968,1,0.6961,0.5766006518454402
P05007,60+,Woman,London,No degree,6.9,0.025101,1,2.3322522522522524,1.7655992997285437
P05039,30-44,Woman,North,No degree,4.9,0.038239,1,1.0373821989528795,1.0571123461325747
P05189,30-44,Woman,North,No degree,5.9,0.038239,1,1.0373821989528795,1.0571123461325747
P05192,45-59,Man,North,Degree,3.3,0.061237,1,0.6375257731958762,0.5694831182261657
P05212,30-44,Woman,North,Degree,4.3,0.057214,1,0.6961,0.6597082290664027
P05248,30-44,Woman,Scotland/Wales,No degree,5.1,0.033374,1,1.0373821989528795,1.2103502094829488
P05251,18-29,Woman,Midlands,Degree,4.4,0.053563,1,0.8527935222672065,0.7645812829645364
P05259,18-29,Man,North,No degree,3.4,0.034173,1,1.099366515837104,1.1994963209748883
P05286,18-29,Man,London,Degree,6.5,0.060918,1,0.8527935222672065,0.6542638188747341
P05296,18-29,Man,South,Degree,7.1,0.053563,1,0.8527935222672065,0.7795868891990588
P05316,45-59,Woman,North,No degree,5.9,0.043192,1,0.8886324786324786,0.9125361920115775
P05318,45-59,Woman,South,No degree,5.0,0.043192,1,0.8886324786324786,0.9503529957055676
P05346,45-59,Man,Midlands,No degree,4.3,0.043192,1,0.8886324786324786,0.9320604576512047
P05370,45-59,Woman,North,Degree,5.3,0.061237,1,0.6375257731958762,0.5694831182261657
P05374,30-44,Man,North,No degree,7.8,0.038239,1,1.0373821989528795,1.0571123461325747
P05429,45-59,Man,London,No degree,5.0,0.05165,1,0.8886324786324786,0.7975782928932811
P05435,18-29,Man,Midlands,Degree,5.7,0.053563,1,0.8527935222672065,0.7645812829645364
P05454,30-44,Woman,North,Degree,5.2,0.057214,1,0.6961,0.6597082290664027
P05469,45-59,Woman,London,No degree,3.9,0.05165,1,0.8886324786324786,0.7975782928932811
P05494,30-44,Man,North,Degree,6.5,0.057214,1,0.6961,0.6597082290664027
P05495,30-44,Woman,Scotland/Wales,Degree,4.8,0.052804,1,0.6961,0.7553388210528066
P05521,45-59,Woman,Scotland/Wales,No degree,5.2,0.038239,1,0.8886324786324786,1.0448164522935846
P05534,18-29,Man,South,No degree,0.5,0.034173,1,1.099366515837104,1.249205162442292
P05578,45-59,Woman,South,No degree,4.2,0.043192,1,0.8886324786324786,0.9503529957055676
P05582,18-29,Woman,South,Degree,3.4,0.053563,1,0.8527935222672065,0.7795868891990588
P05618,18-29,Man,South,Degree,7.3,0.053563,1,0.8527935222672065,0.7795868891990588
P05634,45-59,Man,Midlands,No degree,5.4,0.043192,1,0.8886324786324786,0.9320604576512047
P05663,30-44,Woman,South,No degree,3.8,0.038239,1,1.0373821989528795,1.1009205922340977
P05667,45-59,Woman,South,No degree,4.8,0.043192,1,0.8886324786324786,0.9503529957055676
P05687,45-59,Man,North,Degree,7.3,0.061237,1,0.6375257731958762,0.5694831182261657
P05704,45-59,Man,South,Degree,6.7,0.061237,1,0.6375257731958762,0.593083312363701
P05739,30-44,Man,North,Degree,4.1,0.057214,1,0.6961,0.6597082290664027
P05752,30-44,Man,South,Degree,7.4,0.057214,1,0.6961,0.6870474807172545
P05759,60+,Woman,South,Degree,4.7,0.035381,1,0.9024852071005918,1.3129087016541312
P05796,45-59,Woman,Scotland/Wales,No degree,3.6,0.038239,1,0.8886324786324786,1.0448164522935846
P05802,60+,Woman,Scotland/Wales,No degree,6.1,0.015204,1,2.3322522522522524,2.312910485342466
P05856,30-44,Man,London,No degree,7.6,0.046879,1,1.0373821989528795,0.9239412834314563
P05890,18-29,Woman,North,No degree,1.5,0.034173,1,1.099366515837104,1.1994963209748883
P05901,45-59,Woman,Midlands,Degree,4.0,0.061237,1,0.6375257731958762,0.5816675551557531
P05917,60+,Man,North,No degree,2.9,0.01841,1,2.3322522522522524,2.0200816345539305
P05969,30-44,Man,North,No degree,3.5,0.038239,1,1.0373821989528795,1.0571123461325747
P06032,60+,Man,Midlands,No degree,4.7,0.01841,1,2.3322522522522524,2.0633025070979794
P06045,18-29,Woman,London,Degree,6.0,0.060918,1,0.8527935222672065,0.6542638188747341
P06052,30-44,Woman,South,Degree,4.9,0.057214,1,0.6961,0.6870474807172545
P06072,30-44,Woman,North,Degree,3.6,0.057214,1,0.6961,0.6597082290664027
P06076,60+,Woman,South,Degree,3.8,0.035381,1,0.9024852071005918,1.3129087016541312
P06086,30-44,Woman,Scotland/Wales,No degree,3.5,0.033374,1,1.0373821989528795,1.2103502094829488
P06091,18-29,Man,Scotland/Wales,No degree,4.3,0.029482,1,1.099366515837104,1.3733740114543207
P06096,45-59,Woman,North,No degree,9.0,0.043192,1,0.8886324786324786,0.9125361920115775
P06139,30-44,Man,London,No degree,5.0,0.046879,1,1.0373821989528795,0.9239412834314563
P06141,30-44,Man,North,Degree,6.9,0.057214,1,0.6961,0.6597082290664027
P06167,18-29,Woman,Scotland/Wales,No degree,5.6,0.029482,1,1.099366515837104,1.3733740114543207
P06177,30-44,Woman,Midlands,Degree,5.1,0.057214,1,0.6961,0.6738230869993773
P06195,30-44,Woman,North,Degree,5.7,0.057214,1,0.6961,0.6597082290664027
P06207,30-44,Woman,North,No degree,6.6,0.038239,1,1.0373821989528795,1.0571123461325747
P06210,45-59,Woman,Scotland/Wales,Degree,7.9,0.057214,1,0.6375257731958762,0.6520347756449332
P06237,45-59,Woman,South,No degree,5.4,0.043192,1,0.8886324786324786,0.9503529957055676
P06265,45-59,Woman,South,Degree,4.9,0.061237,1,0.6375257731958762,0.593083312363701
P06290,30-44,Woman,Scotland/Wales,Degree,3.8,0.052804,1,0.6961,0.7553388210528066
P06316,30-44,Man,South,No degree,6.1,0.038239,1,1.0373821989528795,1.1009205922340977
P06330,30-44,Woman,North,No degree,6.9,0.038239,1,1.0373821989528795,1.0571123461325747
P06339,18-29,Man,North,No degree,4.9,0.034173,1,1.099366515837104,1.1994963209748883
P06392,30-44,Man,London,No degree,7.0,0.046879,1,1.0373821989528795,0.9239412834314563
P06440,30-44,Woman,North,No degree,5.4,0.038239,1,1.0373821989528795,1.0571123461325747
P06465,30-44,Man,North,No degree,5.5,0.038239,1,1.0373821989528795,1.0571123461325747
P06466,30-44,Man,South,Degree,7.6,0.057214,1,0.6961,0.6870474807172545
P06480,30-44,Man,North,Degree,6.2,0.057214,1,0.6961,0.6597082290664027
P06483,30-44,Woman,South,No degree,5.6,0.038239,1,1.0373821989528795,1.1009205922340977
P06487,30-44,Man,London,No degree,8.2,0.046879,1,1.0373821989528795,0.9239412834314563
P06496,30-44,Man,Scotland/Wales,No degree,6.8,0.033374,1,1.0373821989528795,1.2103502094829488
P06497,30-44,Man,South,Degree,4.7,0.057214,1,0.6961,0.6870474807172545
P06586,45-59,Man,South,No degree,6.6,0.043192,1,0.8886324786324786,0.9503529957055676
P06629,30-44,Woman,South,No degree,2.4,0.038239,1,1.0373821989528795,1.1009205922340977
P06642,45-59,Man,South,No degree,6.1,0.043192,1,0.8886324786324786,0.9503529957055676
P06648,60+,Woman,South,Degree,6.4,0.035381,1,0.9024852071005918,1.3129087016541312
P06651,30-44,Man,Scotland/Wales,Degree,7.2,0.052804,1,0.6961,0.7553388210528066
P06657,45-59,Woman,North,No degree,5.0,0.043192,1,0.8886324786324786,0.9125361920115775
P06692,30-44,Man,North,Degree,4.6,0.057214,1,0.6961,0.6597082290664027
P06793,45-59,Man,North,Degree,5.5,0.061237,1,0.6375257731958762,0.5694831182261657
P06799,30-44,Woman,Scotland/Wales,Degree,4.8,0.052804,1,0.6961,0.7553388210528066
P06897,45-59,Man,North,No degree,5.7,0.043192,1,0.8886324786324786,0.9125361920115775
P06907,60+,Woman,Midlands,No degree,6.4,0.01841,1,2.3322522522522524,2.0633025070979794
P06937,45-59,Man,Scotland/Wales,Degree,4.5,0.057214,1,0.6375257731958762,0.6520347756449332
P06952,18-29,Man,North,Degree,6.5,0.053563,1,0.8527935222672065,0.7485652746153514
P07001,18-29,Woman,London,No degree,5.2,0.042779,1,1.099366515837104,1.0483882572438128
P07033,18-29,Man,Scotland/Wales,Degree,5.1,0.048894,1,0.8527935222672065,0.8570764879031357
P07035,30-44,Woman,North,No degree,4.1,0.038239,1,1.0373821989528795,1.0571123461325747
P07089,18-29,Woman,Midlands,No degree,7.6,0.034173,1,1.099366515837104,1.2251602727276898
P07095,30-44,Woman,South,Degree,3.9,0.057214,1,0.6961,0.6870474807172545
P07135,45-59,Man,North,Degree,6.7,0.061237,1,0.6375257731958762,0.5694831182261657
P07215,18-29,Man,Scotland/Wales,Degree,1.7,0.048894,1,0.8527935222672065,0.8570764879031357
P07238,30-44,Man,London,Degree,5.8,0.063968,1,0.6961,0.5766006518454402
P07266,45-59,Woman,South,No degree,3.1,0.043192,1,0.8886324786324786,0.9503529957055676
P07278,45-59,Woman,North,Degree,5.1,0.061237,1,0.6375257731958762,0.5694831182261657
P07295,45-59,Man,South,No degree,5.5,0.043192,1,0.8886324786324786,0.9503529957055676
P07299,45-59,Man,South,No degree,4.7,0.043192,1,0.8886324786324786,0.9503529957055676
P07342,30-44,Woman,London,Degree,4.8,0.063968,1,0.6961,0.5766006518454402
P07360,60+,Woman,Scotland/Wales,No degree,8.1,0.015204,1,2.3322522522522524,2.312910485342466
P07383,60+,Man,Midlands,Degree,5.4,0.035381,1,0.9024852071005918,1.2876376365915312
P07427,45-59,Man,South,No degree,6.7,0.043192,1,0.8886324786324786,0.9503529957055676
P07459,60+,Woman,London,Degree,6.0,0.044016,1,0.9024852071005918,1.1018510866192461
P07512,30-44,Woman,South,Degree,4.9,0.057214,1,0.6961,0.6870474807172545
P07604,30-44,Man,North,Degree,5.6,0.057214,1,0.6961,0.6597082290664027
P07614,18-29,Man,South,Degree,3.9,0.053563,1,0.8527935222672065,0.7795868891990588
P07621,18-29,Woman,Midlands,Degree,7.4,0.053563,1,0.8527935222672065,0.7645812829645364
